business_name,address,city,business_type,date,download_date
"PennyMac Financial Services, Inc.",6101 North Condor Drive,Moorpark,Bank/financial services,2021-01-19,2022-01-08
Newbury Park High,456 North Reino Road,Newbury Park,School /Education,2021-07-27,2022-01-08
Albertsons Companies,541 South Reino Road,Newbury Park,Retail including grocery,2021-02-09,2022-01-08
"Skyworks Solutions, Inc.",730 Lawrence Drive,Newbury Park,Other,2022-01-02,2022-01-08
Oak Hills Elementary,1010 Kanan Road,Oak Park,Other 2,2021-08-13,2022-01-08
Brookside Elementary,165 North Satinwood Avenue,Oak Park,Other 2,2021-09-02,2022-01-08
Red Oak Elementary,4857 Rockfield Street,Oak Park,Other 2,2021-10-07,2022-01-08
Monica Ros School,783 McNell Rd.,Oja,Other 2,2021-07-09,2022-01-08
Westridge Midtown Market,131 West Ojai Avenue,Ojai,Retail including grocery,2021-01-22,2022-01-08
Rainbow Bridge Village Marketplace,211 East Matilija Street,Ojai,Food service/restaurant,2021-07-21,2022-01-08
Ojai Valley Inn and Spa,905 Country Club Road,Ojai,Other 2,2021-12-23,2022-01-08
Fierro's Meat Market,1355 South C Street,Oxnard,Retail including grocery,2021-01-28,2022-01-08
Channel Islands High,1400 Raiders Way,Oxnard,School /Education,2021-09-09,2022-01-08
"Scosche Industries, Inc.",1550 Pacific Avenue,Oxnard,Other,2021-01-22,2022-01-08
Team Nissan of Oxnard,1801 Auto Center Drive,Oxnard,Other,2021-01-14,2022-01-08
Gold Coast Transit,1901 Auto Center Drive,Oxnard,Public transit,2021-03-23,2022-01-08
"MDRS, Spine & Sport Physical Therapy","1901 Outlet Center Drive, #110,",Oxnard,Medical Facility,2021-08-23,2022-01-08
CarMax #6014,2001 Lockwood Street,Oxnard,Other,2021-12-27,2022-01-08
Channel Islands Surgicenter,2300 Wankel Way,Oxnard,Other 2,2021-12-29,2022-01-08
The Habit Burger Grill,2350 East Vineyard Avenue,Oxnard,Food service/restaurant,2021-01-22,2022-01-08
"Pacific Preferred Insurance Brokers, LLC","2775 North Ventura Road, Suite 110,",Oxnard,Other,2022-01-03,2022-01-08
Target,2850 North Oxnard Boulevard,Oxnard,Retail including grocery,2021-01-17,2022-01-08
Thurgood Marshall Elementary,2900 Thurgood Marshall Drive,Oxnard,Other 2,2021-11-08,2022-01-08
Cesar E. Chavez Elementary,301 North Marquita Street,Oxnard,Other 2,2021-09-24,2022-01-08
Herzog Wine Cellar,3201 Camino Del Sol,Oxnard,Other,2021-07-19,2022-01-08
"Mirror Metals, Inc",350 Hearst Drive,Oxnard,Other,2021-01-12,2022-01-08
E. O. Green Junior High,3739 South C Street,Oxnard,Other 2,2021-09-14,2022-01-08
Starbucks Coffee,380 West Esplanade Drive,Oxnard,Food service/restaurant,2021-12-27,2022-01-08
In-N-Out Burger,381 West Esplanade Drive,Oxnard,Food service/restaurant,2021-01-11,2022-01-08
Hollywood Beach Elementary,4000 Sunset Lane,Oxnard,Other 2,2021-11-29,2022-01-08
"Coastal Pediatric Medical Group, Inc.",451 West Gonzales Road,Oxnard,Medical Facility,2021-01-11,2022-01-08
"Praxair Distribution, Inc.",455 East Wooley Road,Oxnard,Other,2021-01-22,2022-01-08
"ETS Express, LLC",460 South Lombard Street,Oxnard,Other,2021-03-17,2022-01-08
Rio Mesa High,545 Central Avenue,Oxnard,School /Education,2021-10-06,2022-01-08
Amentum,5901 Arcturus Avenue,Oxnard,Other,2021-07-14,2022-01-08
Charles Blackstock Junior High,701 East Bard Road,Oxnard,Other 2,2021-09-08,2022-01-08
Duda Farm Fresh Foods,860 Pacific Avenue,Oxnard,Agricultural Operation,2021-01-06,2022-01-08
Piru Elementary,3811 East Center Street,Piru,Other 2,2021-10-25,2022-01-08
"Hueneme Patient Consumer Collective, LLC","501 West Channel Islands Boulevard, #301, #302, #303, #304,",Port Hueneme,Other,2021-08-06,2022-01-08
Panda Express #2071,545 West Harvard Boulevard,Santa Paula,Food service/restaurant,2022-01-03,2022-01-08
Vons,576 West Main Street,Santa Paula,Retail including grocery,2021-02-09,2022-01-08
City of Santa Paula,970 Ventura Street,Santa Paula,Other,2021-09-27,2022-01-08
Grace Brethren Junior–Senior High School,1350 Cherry Ave.,Simi Valley,School /Education,2021-09-20,2022-01-08
Royal High,1402 Royal Avenue,Simi Valley,School /Education,2021-04-14,2022-01-08
Simi Institute for Careers and Education,1880 Blackstock Avenue,Simi Valley,Other 2,2021-11-01,2022-01-08
"Meggitt Safety Systems, Inc.",1955 Surveyor Avenue,Simi Valley,Other,2021-01-12,2022-01-08
L3Harris Technologies,200 West Los Angeles Avenue,Simi Valley,Other,2021-01-15,2022-01-08
Vista Elementary,2175 Wisteria Street,Simi Valley,Other 2,2021-11-17,2022-01-08
Suttles Plumbing & Mechanical Corp,2267 Agate Court,Simi Valley,Construction site,2021-11-08,2022-01-08
Simi Valley Toyota,2380 First Street,Simi Valley,Other,2021-02-05,2022-01-08
Madera Elementary,250 Royal Avenue,Simi Valley,Other 2,2021-09-20,2022-01-08
In-N-Out Burger #78,2600 Stearns Street,Simi Valley,Food service/restaurant,2021-12-29,2022-01-08
Costco Wholesale Simi Valley,2660 Park Center Drive,Simi Valley,Retail including grocery,2021-01-13,2022-01-08
Ralphs Grocery Company,2726 East Los Angeles Avenue,Simi Valley,Retail including grocery,2021-02-10,2022-01-08
The Habit Burger Grill,2906 Tapo Canyon Blvd #B,Simi Valley,Food service/restaurant,2021-01-22,2022-01-08
Green Acres Farm Mkt. & Catering,2918 Los Angeles Ave.,Simi Valley,Retail including grocery,2021-01-11,2022-01-08
Apollo High,3150 School Street,Simi Valley,School /Education,2021-10-08,2022-01-08
Nagel Orthodontics,3695 Alamo Street STE 301,Simi Valley,Medical Facility,2021-01-08,2022-01-08
Township Elementary,4101 Township Avenue,Simi Valley,Other 2,2021-11-03,2022-01-08
The Home Depot #6640,575 Cochran Street,Simi Valley,Retail including grocery,2021-01-08,2022-01-08
Sinaloa Middle,601 Royal Avenue,Simi Valley,Other 2,2021-10-21,2022-01-08
DPR Construction,1300 Rancho Conejo Boulevard,Thousand Oaks,Construction site,2021-01-21,2022-01-08
Jinky's Cafe,1724 East Avenida De Los Arboles,Thousand Oaks,Food service/restaurant,2021-06-16,2022-01-08
Department of Motor Vehicles (DMV),1810 East Avenida De Los Arboles,Thousand Oaks,Office/Workplace,2021-08-25,2022-01-08
Mastro's Steakhouse,2087 East Thousand Oaks Boulevard,Thousand Oaks,Food service/restaurant,2021-12-30,2022-01-08
Lassens Natural Foods & Vitamins,2150 East Thousand Oaks Boulevard,Thousand Oaks,Retail including grocery,2021-11-03,2022-01-08
Thousand Oaks High,2323 North Moorpark Road,Thousand Oaks,School /Education,2021-03-17,2022-01-08
Atara Biotherapeutics,2380 Conejo Spectrum Street,Thousand Oaks,Other,2021-11-17,2022-01-08
"Aurora Payments, LLC","310 North Westlake Boulevard, Suite 200,",Thousand Oaks,Other,2021-02-17,2022-01-08
Sherwood Country Club,320 West Stafford Road,Thousand Oaks,Other,2021-12-30,2022-01-08
Neftin Volkswagen,3550 Auto Mall Drive,Thousand Oaks,Other 2,2021-08-11,2022-01-08
Rolling Oaks Radiology,"415 Rolling Oaks Drive, Suite 230,",Thousand Oaks,Medical Facility,2022-01-03,2022-01-08
"Wesely-Thomas Enterprises, Inc.","4580 East Thousand Oaks Boulevard, Suite 200",Thousand Oaks,Other,2021-12-28,2022-01-08
Assisted Home Health and Hospice (Admin Office),"72 Moody Court, #100,",Thousand Oaks,Other,2021-07-26,2022-01-08
Kryger Institute of Plastic Surgery/Center for Advanced Plastic Surgery,947 East Thousand Oaks Boulevard,Thousand Oaks,Other 2,2021-12-14,2022-01-08
Foothill Technology High,100 Day Road,Ventura,School /Education,2021-12-21,2022-01-08
Southern California Edison,10060 Telegraph Road,Ventura,Office/Workplace,2021-12-30,2022-01-08
Social Tap,1105 South Seaward Avenue,Ventura,Food service/restaurant,2021-08-05,2022-01-08
City of San Buenaventura Police Department,1425 Dowell Drive,Ventura,Other,2021-08-20,2022-01-08
Island View Gastoenterology Associates,"168 North Brent Street, STE 404",Ventura,Medical Facility,2021-01-11,2022-01-08
"Western Wireline, Inc.",1689 North Olive Street,Ventura,Other,2021-08-30,2022-01-08
Aera Energy LLC,"1800 School Canyon Road,",Ventura,Other,2021-10-28,2022-01-08
Ventura High,2 North Catalina Street,Ventura,School /Education,2021-08-17,2022-01-08
Cal Termite & Pest Control / Powerhouse Construction,"2175 Goodyear Avenue, #124,",Ventura,Other,2021-07-13,2022-01-08
"Sam Hill & Sons, Inc.",2627 Beene Road,Ventura,Construction site,2021-01-27,2022-01-08
Coastal Contract Packaging,2976 Golf Course Drive,Ventura,Other,2021-07-27,2022-01-08
St Bonaventure High School,3167 Telegraph Road,Ventura,School /Education,2021-12-28,2022-01-08
"Fermented Sciences II, Inc.","3200 Golf Course Drive, Unit 1,",Ventura,Other,2021-12-20,2022-01-08
City of San Buenaventura (Ventura),336 Sanjon Road,Ventura,Other,2021-07-01,2022-01-08
Santa Barbara Eyeglass Factory,4051 East Main Street,Ventura,Other,2021-01-12,2022-01-08
Wildscape Restoration,"4562 Westinghouse Street, Suite F/J,",Ventura,Other,2021-01-28,2022-01-08
The Habit Burger Grill,4732 Telephone Road,Ventura,Food service/restaurant,2021-01-23,2022-01-08
WinCo Foods,4750 Telephone Rd,Ventura,Retail including grocery,2021-01-08,2022-01-08
The Habit Burger Grill,487 East Thompson Boulevard,Ventura,Food service/restaurant,2021-01-22,2022-01-08
Elmhurst Elementary,5080 Elmhurst Street,Ventura,Other 2,2021-09-07,2022-01-08
Dorothy Boswell School,5190 Loma Vista Road,Ventura,School /Education,2021-12-08,2022-01-08
"E.J. Harrison & Sons, INC.",5275 Colt Street,Ventura,Other,2021-01-11,2022-01-08
"Lure Fish House - Ventura, CA",60 South California Street,Ventura,Food service/restaurant,2021-06-30,2022-01-08
Stryker Corporation dba TMJ Concepts Solutions,6059 King Drive,Ventura,Other,2021-09-16,2022-01-08
County of Ventura - General Services Agency,800 South Victoria Avenue,Ventura,Other,2021-08-17,2022-01-08
Ventura Surf Shop,88 East Thompson Boulevard,Ventura,Retail including grocery,2021-08-19,2022-01-08
Westlake High,100 North Lakeview Canyon Road,Westlake Village,School /Education,2021-03-15,2022-01-08
Advanced Optometrics,"1014 South Westlake Boulevard, #10,",Westlake Village,Medical Facility,2021-01-29,2022-01-08
City National Bank,2655 Townsgate Road,Westlake Village,Bank/financial services,2021-02-25,2022-01-08
"Private National Mortgage Acceptance Co (PennyMac Financial Services, Inc.)","3043 Townsgate Road, Suite 200,",Westlake Village,Bank/financial services,2021-10-01,2022-01-08
Hyatt Regency Westlake,880 South Westlake Boulevard,Westlake Village,Other 2,2021-08-13,2022-01-08
