business_name,business_type,address,city,date
Trader Joe's - Simi Valley,Retail space (including grocery stores),2975A Cochran Street,Simi Valley,2021-01-17
Milgard Windows & Doors,Other manufacturing,355 E. Easy Street,Simi Valley,2021-01-17
Nagel Orthodontics,Other medical facility,3695 Alamo Street STE 301,Simi Valley,2021-01-17
The Home Depot S.V.,Retail space (including grocery stores),575 Cochran St.,Simi Valley,2021-01-17
Target Optical,Retail space (including grocery stores),2705 Teller Rd.,Thousand Oaks,2021-01-17
Nordstrom Thousand Oaks,Retail space (including grocery stores),350 West Hillcrest Drive,Thousand Oaks,2021-01-17
Conejo Valley Veterinary Hospital,"Animal services (e.g., animal shelter/control, veterinary clinic)",3580 Willow Lane,Thousand Oaks,2021-01-17
The Cheesecake Factory - Thousand Oaks,Food service/restaurant,442 West Hillcrest Drive,Thousand Oaks,2021-01-17
Urbane Cafe - Thousand Oaks,Food service/restaurant,50 Thousand Oaks Boulevard,Thousand Oaks,2021-01-17
Michael & Associates Law Firm,Office space/workspace,"555 Saint Charles Drive, Suite 204",Thousand Oaks,2021-01-17
"Michael & Associates, PC",Office space/workspace,"555 St. Charles Drive, Suite 204",Thousand Oaks,2021-01-17
Little Calf Creamery,Food service/restaurant,652 East Janss Road,Thousand Oaks,2021-01-17
Trader Joe's - Ventura (S. Mills Rd.),Food service/restaurant,103 South Mills Road,Ventura,2021-01-17
Jack in the Box - Saticoy,Food service/restaurant,11044 Citrus Drive,Ventura,2021-01-17
County of Ventura - General Services Agency,"Auto services (e.g., auto repair, gas station, car wash)",11201 - A1 Riverbank Drive,Ventura,2021-01-17
Island View Gastoenterology Associates,Other medical facility,"168 North Brent Street, STE 404",Ventura,2021-01-17
Trader Joe's - Ventura (S. Victoria Ave.),Retail space (including grocery stores),1795 South Victoria Avenue,Ventura,2021-01-17
UPS - Ventura,Distribution warehouse,2559 Palma Drive,Ventura,2021-01-17
Contractor's Warehouse,Retail space (including grocery stores),2625 Johnson Drive,Ventura,2021-01-17
Wood Ranch BBQ and Grill  Ventura,Food service/restaurant,3449 E. Main Street,Ventura,2021-01-17
JC Penney,Retail space (including grocery stores),377 South Mills Road,Ventura,2021-01-17
Santa Barbara Eyeglass Factory,Other (specify),4051 East Main Street,Ventura,2021-01-17
WinCo Foods,Retail space (including grocery stores),4750 Telephone Rd,Ventura,2021-01-17
Lowe's - Ventura,Retail space (including grocery stores),500 South Mills Road,Ventura,2021-01-17
Ventura County Treasure - Tax Collector,Bank/financial services,800 South Victoria Ave.,Ventura,2021-01-17
"E.J. Harrison & Sons, INC.",Other (specify),Colt Street,Ventura,2021-01-17
"Agoura Sash and Door, Inc.",Other (specify),2301 Townsgate Road,Westlake Village,2021-01-17
Trader Joe's - Westlake Village,Retail space (including grocery stores),3835 East Thousand Oaks Boulevard,Westlake Village,2021-01-17
